Nodo;latitude;longitud;Velocidad_Objetivo;Velocidad;CACC;Hora;Distancia_Objetivo;Distancia;;minuto;Segundos;Ellapsed_Seconds;Acceleracion
0;0,341073;0,529182;3,5;3,97;;10:24:09;10;;;2;09;82;0,09
1;0,340909;0,52916;3,5;3,29;-0,16;10:24:09;10;18,45;;2;09;75;-0,06
0;0,341107;0,529175;3,5;4,01;;10:24:10;10;;;2;10;83;0,04
1;0,340918;0,529182;3,5;3,62;-0,09;10:24:10;10;21,05;;2;10;76;0,33
0;0,341142;0,529175;3,5;3,58;;10:24:11;10;;;2;11;84;-0,43
1;0,340933;0,52919;3,5;3,65;-0,02;10:24:11;10;23,34;;2;11;77;0,03
0;0,341178;0,529167;3,5;2,83;;10:24:12;10;;;2;12;85;-0,75
1;0,340954;0,529198;3,5;3,64;0,07;10:24:12;10;25,13;;2;12;78;-0,01
0;0,341212;0,52916;3,5;2,3;;10:24:13;10;;;2;13;86;-0,53
1;0,340983;0,529198;3,5;3,75;0,14;10:24:13;10;25,82;;2;13;79;0,11
0;0,341239;0,529152;3,5;1,87;;10:24:14;10;;;2;14;87;-0,43
1;0,341018;0,529198;3,5;3,78;0,17;10:24:14;10;25,12;;2;14;80;0,03
0;0,341262;0,529144;3,5;2,42;;10:24:15;10;;;2;15;88;0,55
1;0,341086;0,52919;3,5;3,89;0,15;10:24:15;10;20,19;;2;15;81;0,11
0;0,341279;0,529152;3,5;2,87;;10:24:16;10;;;2;16;89;0,45
1;0,341086;0,52919;3,5;3,97;-0,02;10:24:16;10;21,83;;2;16;82;0,08
0;0,341294;0,529152;3,5;3,4;;10:24:17;10;;;2;17;90;0,53
1;0,341121;0,52919;3,5;3,6;-0,01;10:24:17;10;19,73;;2;17;83;-0,37
0;0,341315;0,52916;3,5;3,89;;10:24:18;10;;;2;18;91;0,49
1;0,341157;0,529182;3,5;2,97;-0,04;10:24:18;10;17,72;;2;18;84;-0,63
0;0,34134;0,52916;3,5;4;;10:24:19;10;;;2;19;92;0,11
1;0,34119;0,529175;3,5;2,6;-0,06;10:24:19;10;16,75;;2;19;85;-0,37
0;0,341371;0,529167;3,5;4,13;;10:24:20;10;;;2;20;93;0,13
1;0,341218;0,529167;3,5;2,51;-0,07;10:24:20;10;16,96;;2;20;86;-0,09
0;0,341406;0,529175;3,5;3,81;;10:24:21;10;;;2;21;94;-0,32
1;0,341245;0,52916;3,5;2,93;-0,06;10:24:21;10;17,99;;2;21;87;0,42
0;0,341443;0,529175;3,5;3,53;;10:24:22;10;;;2;22;95;-0,28
